country_code,country_name,region,income_level,indicator_code,indicator_name,value,year
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,SP.POP.TOTL,"Population, total",42647492.0,2024
ALB,Albania,Europe & Central Asia,Upper middle income,SP.POP.TOTL,"Population, total",2377128.0,2024
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,SP.POP.TOTL,"Population, total",46814308.0,2024
ASM,American Samoa,East Asia & Pacific,High income,SP.POP.TOTL,"Population, total",46765.0,2024
AND,Andorra,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",81938.0,2024
AGO,Angola,Sub-Saharan Africa ,Lower middle income,SP.POP.TOTL,"Population, total",37885849.0,2024
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,SP.POP.TOTL,"Population, total",93772.0,2024
ARG,Argentina,Latin America & Caribbean ,Upper middle income,SP.POP.TOTL,"Population, total",45696159.0,2024
ARM,Armenia,Europe & Central Asia,Upper middle income,SP.POP.TOTL,"Population, total",3033500.0,2024
ABW,Aruba,Latin America & Caribbean ,High income,SP.POP.TOTL,"Population, total",107995.0,2024
AUS,Australia,East Asia & Pacific,High income,SP.POP.TOTL,"Population, total",27196812.0,2024
AUT,Austria,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",9177982.0,2024
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,SP.POP.TOTL,"Population, total",10202830.0,2024
BHS,"Bahamas, The",Latin America & Caribbean ,High income,SP.POP.TOTL,"Population, total",401283.0,2024
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,SP.POP.TOTL,"Population, total",1588670.0,2024
BGD,Bangladesh,South Asia,Lower middle income,SP.POP.TOTL,"Population, total",173562364.0,2024
BRB,Barbados,Latin America & Caribbean ,High income,SP.POP.TOTL,"Population, total",282467.0,2024
BLR,Belarus,Europe & Central Asia,Upper middle income,SP.POP.TOTL,"Population, total",9132629.0,2024
BEL,Belgium,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",11858610.0,2024
BLZ,Belize,Latin America & Caribbean ,Upper middle income,SP.POP.TOTL,"Population, total",417072.0,2024
BEN,Benin,Sub-Saharan Africa ,Lower middle income,SP.POP.TOTL,"Population, total",14462724.0,2024
BMU,Bermuda,North America,High income,SP.POP.TOTL,"Population, total",64636.0,2024
BTN,Bhutan,South Asia,Lower middle income,SP.POP.TOTL,"Population, total",791524.0,2024
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,SP.POP.TOTL,"Population, total",12413315.0,2024
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,SP.POP.TOTL,"Population, total",3164253.0,2024
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,SP.POP.TOTL,"Population, total",2521139.0,2024
BRA,Brazil,Latin America & Caribbean ,Upper middle income,SP.POP.TOTL,"Population, total",211998573.0,2024
VGB,British Virgin Islands,Latin America & Caribbean ,High income,SP.POP.TOTL,"Population, total",39471.0,2024
BRN,Brunei Darussalam,East Asia & Pacific,High income,SP.POP.TOTL,"Population, total",462721.0,2024
BGR,Bulgaria,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",6441421.0,2024
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,SP.POP.TOTL,"Population, total",23548781.0,2024
BDI,Burundi,Sub-Saharan Africa ,Low income,SP.POP.TOTL,"Population, total",14047786.0,2024
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,SP.POP.TOTL,"Population, total",524877.0,2024
KHM,Cambodia,East Asia & Pacific,Lower middle income,SP.POP.TOTL,"Population, total",17638801.0,2024
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,SP.POP.TOTL,"Population, total",29123744.0,2024
CAN,Canada,North America,High income,SP.POP.TOTL,"Population, total",41288599.0,2024
CYM,Cayman Islands,Latin America & Caribbean ,High income,SP.POP.TOTL,"Population, total",74457.0,2024
CAF,Central African Republic,Sub-Saharan Africa ,Low income,SP.POP.TOTL,"Population, total",5330690.0,2024
TCD,Chad,Sub-Saharan Africa ,Low income,SP.POP.TOTL,"Population, total",20299123.0,2024
CHL,Chile,Latin America & Caribbean ,High income,SP.POP.TOTL,"Population, total",19764771.0,2024
CHN,China,East Asia & Pacific,Upper middle income,SP.POP.TOTL,"Population, total",1408975000.0,2024
COL,Colombia,Latin America & Caribbean ,Upper middle income,SP.POP.TOTL,"Population, total",52886363.0,2024
COM,Comoros,Sub-Saharan Africa ,Lower middle income,SP.POP.TOTL,"Population, total",866628.0,2024
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,SP.POP.TOTL,"Population, total",109276265.0,2024
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,SP.POP.TOTL,"Population, total",6332961.0,2024
CRI,Costa Rica,Latin America & Caribbean ,High income,SP.POP.TOTL,"Population, total",5129910.0,2024
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,SP.POP.TOTL,"Population, total",31934230.0,2024
HRV,Croatia,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",3866200.0,2024
CUB,Cuba,Latin America & Caribbean ,Upper middle income,SP.POP.TOTL,"Population, total",10979783.0,2024
CUW,Curacao,Latin America & Caribbean ,High income,SP.POP.TOTL,"Population, total",155967.0,2024
CYP,Cyprus,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",1358282.0,2024
CZE,Czechia,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",10905028.0,2024
DNK,Denmark,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",5976992.0,2024
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,SP.POP.TOTL,"Population, total",1168722.0,2024
DMA,Dominica,Latin America & Caribbean ,Upper middle income,SP.POP.TOTL,"Population, total",66205.0,2024
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,SP.POP.TOTL,"Population, total",11427557.0,2024
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,SP.POP.TOTL,"Population, total",18135478.0,2024
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,SP.POP.TOTL,"Population, total",116538258.0,2024
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,SP.POP.TOTL,"Population, total",6338193.0,2024
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,SP.POP.TOTL,"Population, total",1892516.0,2024
ERI,Eritrea,Sub-Saharan Africa ,Low income,SP.POP.TOTL,"Population, total",3535603.0,2024
EST,Estonia,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",1372341.0,2024
SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,SP.POP.TOTL,"Population, total",1242822.0,2024
ETH,Ethiopia,Sub-Saharan Africa ,Not classified,SP.POP.TOTL,"Population, total",132059767.0,2024
FRO,Faroe Islands,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",54681.0,2024
FJI,Fiji,East Asia & Pacific,Upper middle income,SP.POP.TOTL,"Population, total",928784.0,2024
FIN,Finland,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",5619911.0,2024
FRA,France,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",68551653.0,2024
PYF,French Polynesia,East Asia & Pacific,High income,SP.POP.TOTL,"Population, total",281807.0,2024
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,SP.POP.TOTL,"Population, total",2538952.0,2024
GMB,"Gambia, The",Sub-Saharan Africa ,Low income,SP.POP.TOTL,"Population, total",2759988.0,2024
GEO,Georgia,Europe & Central Asia,Upper middle income,SP.POP.TOTL,"Population, total",3699557.0,2024
DEU,Germany,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",83516593.0,2024
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,SP.POP.TOTL,"Population, total",34427414.0,2024
GRC,Greece,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",10405134.0,2024
GRL,Greenland,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",56836.0,2024
GRD,Grenada,Latin America & Caribbean ,Upper middle income,SP.POP.TOTL,"Population, total",117207.0,2024
GUM,Guam,East Asia & Pacific,High income,SP.POP.TOTL,"Population, total",167777.0,2024
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,SP.POP.TOTL,"Population, total",18406359.0,2024
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,SP.POP.TOTL,"Population, total",14754785.0,2024
GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,SP.POP.TOTL,"Population, total",2201352.0,2024
GUY,Guyana,Latin America & Caribbean ,High income,SP.POP.TOTL,"Population, total",831087.0,2024
HTI,Haiti,Latin America & Caribbean ,Lower middle income,SP.POP.TOTL,"Population, total",11772557.0,2024
HND,Honduras,Latin America & Caribbean ,Lower middle income,SP.POP.TOTL,"Population, total",10825703.0,2024
HUN,Hungary,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",9562065.0,2024
ISL,Iceland,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",386506.0,2024
IND,India,South Asia,Lower middle income,SP.POP.TOTL,"Population, total",1450935791.0,2024
IDN,Indonesia,East Asia & Pacific,Upper middle income,SP.POP.TOTL,"Population, total",283487931.0,2024
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,SP.POP.TOTL,"Population, total",91567738.0,2024
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,SP.POP.TOTL,"Population, total",46042015.0,2024
IRL,Ireland,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",5395790.0,2024
IMN,Isle of Man,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",84160.0,2024
ITA,Italy,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",58952704.0,2024
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,SP.POP.TOTL,"Population, total",2839175.0,2024
JPN,Japan,East Asia & Pacific,High income,SP.POP.TOTL,"Population, total",123975371.0,2024
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,SP.POP.TOTL,"Population, total",11552876.0,2024
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,SP.POP.TOTL,"Population, total",20592571.0,2024
KEN,Kenya,Sub-Saharan Africa ,Lower middle income,SP.POP.TOTL,"Population, total",56432944.0,2024
KIR,Kiribati,East Asia & Pacific,Lower middle income,SP.POP.TOTL,"Population, total",134518.0,2024
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,SP.POP.TOTL,"Population, total",26498823.0,2024
KOR,"Korea, Rep.",East Asia & Pacific,High income,SP.POP.TOTL,"Population, total",51751065.0,2024
XKX,Kosovo,Europe & Central Asia,Upper middle income,SP.POP.TOTL,"Population, total",1594353.0,2024
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,SP.POP.TOTL,"Population, total",4897263.0,2024
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,SP.POP.TOTL,"Population, total",7221868.0,2024
LAO,Lao PDR,East Asia & Pacific,Lower middle income,SP.POP.TOTL,"Population, total",7769819.0,2024
LVA,Latvia,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",1866124.0,2024
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,SP.POP.TOTL,"Population, total",5805962.0,2024
LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,SP.POP.TOTL,"Population, total",2337423.0,2024
LBR,Liberia,Sub-Saharan Africa ,Low income,SP.POP.TOTL,"Population, total",5612817.0,2024
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,SP.POP.TOTL,"Population, total",7381023.0,2024
LIE,Liechtenstein,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",40450.0,2024
LTU,Lithuania,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",2888278.0,2024
LUX,Luxembourg,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",677012.0,2024
MDG,Madagascar,Sub-Saharan Africa ,Low income,SP.POP.TOTL,"Population, total",31964956.0,2024
MWI,Malawi,Sub-Saharan Africa ,Low income,SP.POP.TOTL,"Population, total",21655286.0,2024
MYS,Malaysia,East Asia & Pacific,Upper middle income,SP.POP.TOTL,"Population, total",35557673.0,2024
MDV,Maldives,South Asia,Upper middle income,SP.POP.TOTL,"Population, total",527799.0,2024
MLI,Mali,Sub-Saharan Africa ,Low income,SP.POP.TOTL,"Population, total",24478595.0,2024
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,SP.POP.TOTL,"Population, total",568847.0,2024
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,SP.POP.TOTL,"Population, total",37548.0,2024
MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,SP.POP.TOTL,"Population, total",5169395.0,2024
MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,SP.POP.TOTL,"Population, total",1245779.0,2024
MEX,Mexico,Latin America & Caribbean ,Upper middle income,SP.POP.TOTL,"Population, total",130861007.0,2024
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,SP.POP.TOTL,"Population, total",113160.0,2024
MDA,Moldova,Europe & Central Asia,Upper middle income,SP.POP.TOTL,"Population, total",2402306.0,2024
MCO,Monaco,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",38631.0,2024
MNG,Mongolia,East Asia & Pacific,Upper middle income,SP.POP.TOTL,"Population, total",3524788.0,2024
MNE,Montenegro,Europe & Central Asia,Upper middle income,SP.POP.TOTL,"Population, total",623525.0,2024
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,SP.POP.TOTL,"Population, total",38081173.0,2024
MOZ,Mozambique,Sub-Saharan Africa ,Low income,SP.POP.TOTL,"Population, total",34631766.0,2024
MMR,Myanmar,East Asia & Pacific,Lower middle income,SP.POP.TOTL,"Population, total",54500091.0,2024
NAM,Namibia,Sub-Saharan Africa ,Lower middle income,SP.POP.TOTL,"Population, total",3030131.0,2024
NRU,Nauru,East Asia & Pacific,High income,SP.POP.TOTL,"Population, total",11947.0,2024
NPL,Nepal,South Asia,Lower middle income,SP.POP.TOTL,"Population, total",29651054.0,2024
NLD,Netherlands,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",17993485.0,2024
NCL,New Caledonia,East Asia & Pacific,High income,SP.POP.TOTL,"Population, total",292639.0,2024
NZL,New Zealand,East Asia & Pacific,High income,SP.POP.TOTL,"Population, total",5287500.0,2024
NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,SP.POP.TOTL,"Population, total",6916140.0,2024
NER,Niger,Sub-Saharan Africa ,Low income,SP.POP.TOTL,"Population, total",27032412.0,2024
NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,SP.POP.TOTL,"Population, total",232679478.0,2024
MKD,North Macedonia,Europe & Central Asia,Upper middle income,SP.POP.TOTL,"Population, total",1824359.0,2024
MNP,Northern Mariana Islands,East Asia & Pacific,High income,SP.POP.TOTL,"Population, total",44278.0,2024
NOR,Norway,Europe & Central Asia,High income,SP.POP.TOTL,"Population, total",5572279.0,2024
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,SP.POP.TOTL,"Population, total",5281538.0,2024
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,SP.POP.TOTL,"Population, total",251269164.0,2024
